,post_number,subject,username,date
31851,31852,<DELETED>,<DELETED>,2014-07-09
31852,31853,<DELETED>,<DELETED>,2014-07-09
31853,31854,"Actually, that is real DD , a newspaper",sctts,2014-07-09
31854,31855,Or for some ,GREGG THE GREEK,2014-07-09
31855,31856,And i'm not so sure why there is,GREGG THE GREEK,2014-07-09
31856,31857,Understanding gets clouded when you are conflicted with,gr8upside,2014-07-09
31857,31858,"True, true. Shame to base everything on personal",GREGG THE GREEK,2014-07-09
31858,31859,"Great post, would a MOD please mark that post?",wlfr01,2014-07-09
31859,31860,what will be the nature of this survey,IAMMINDFULL,2014-07-09
31860,31861,<DELETED>,<DELETED>,2014-07-09
31861,31862,I say august,buccaneer1961,2014-07-09
31862,31863,horse manure...that's why my exit is at .08,buccaneer1961,2014-07-09
31863,31864,So funny.,GREGG THE GREEK,2014-07-09
31864,31865,<DELETED>,<DELETED>,2014-07-09
31865,31866,.02s almost gone again.,Paul Wall,2014-07-09
31866,31867,Paul Simon,GREGG THE GREEK,2014-07-09
31867,31868,"Dont they at least have some ""state of",XYREUS,2014-07-09
31868,31869,simple answer is NO,IAMMINDFULL,2014-07-09
31869,31870,??? What do they have??? A boat without,XYREUS,2014-07-09
31870,31871,http://seafarercorp.com/,sevendoubler,2014-07-09
31871,31872,"Thank you...much appreciated. I feel stupid, could have",XYREUS,2014-07-09
31872,31873,I believe this site has been charted by,lindy1401,2014-07-09
31873,31874,"again, not to go into details but this",IAMMINDFULL,2014-07-09
31874,31875,Well?? Gosh dang it! I'm an old fisherman,trueblue,2014-07-09
31875,31876,<DELETED>,<DELETED>,2014-07-09
31876,31877,<DELETED>,<DELETED>,2014-07-09
31877,31878,I think an investor writing campaign to the,boiler99,2014-07-09
31878,31879,by the time anyone looks at it they,lovethatgreen,2014-07-09
31879,31880,So green are you sayin we have pissed,lindy1401,2014-07-09
31880,31881,"oh horse manure!!!!!!!!!! it IS needed,if its as",buccaneer1961,2014-07-09
31881,31882,the real companies do..this is an upstart that,buccaneer1961,2014-07-09
31882,31883, for possible uplisting,sctts,2014-07-09
31883,31884,but its just banter...meaningless if the pps isn't,buccaneer1961,2014-07-09
31884,31885,and especially this is the week bullshit,buccaneer1961,2014-07-09
31885,31886,"it broke .02...then met by non-belivers,selling! its red,down...",buccaneer1961,2014-07-09
31886,31887,You know Gregg...I have never in all the,lindy1401,2014-07-09
31887,31888,<DELETED>,<DELETED>,2014-07-09
31888,31889,<DELETED>,<DELETED>,2014-07-09
31889,31890,We are going to be very happy shareholders!,Full Throttle,2014-07-10
31890,31891,but its just banter...meaningless if the pps isn't,sctts,2014-07-10
31891,31892,so is most of the negative conjecture ,GREGG THE GREEK,2014-07-10
31892,31893,LMAOit'll be met w selling at a lot,GREGG THE GREEK,2014-07-10
31893,31894,"It's the latest fad, ""load"" up on a",GREGG THE GREEK,2014-07-10
31894,31895,The best is banter calling out banter. As,GREGG THE GREEK,2014-07-10
31895,31896,"Oh and i forgot to mention, we are",GREGG THE GREEK,2014-07-10
31896,31897,"Ignore most of that stuff,",sctts,2014-07-10
31897,31898,"I try to, but it's similar to sitting",GREGG THE GREEK,2014-07-10
31898,31899,Many of us (myself included) have discussed this,boiler99,2014-07-10
31899,31900,"Yea, well what does he know ? LOL",GREGG THE GREEK,2014-07-10
31900,31901,Many of us (myself included) have discussed this,sctts,2014-07-10
31901,31902,Now that sounds good! Will add a couple,trueblue,2014-07-10
31902,31903,Leaves me scratching my head? This is a,trueblue,2014-07-10
31903,31904,Now that! is great to hear!!,trueblue,2014-07-10
31904,31905,"Yup, looking to add some more myself ",GREGG THE GREEK,2014-07-10
31905,31906,Agree! Might as well fill up any free,trueblue,2014-07-10
31906,31907,There's a few Titanic's floating around and several,GREGG THE GREEK,2014-07-10
31907,31908,Spot on,wlfr01,2014-07-10
31908,31909,I feel like on that show naked and afraid.,mbumpt,2014-07-10
31909,31910,And  X  marks the spot too :-),GREGG THE GREEK,2014-07-10
31910,31911,"Don't need the food and water, we can",GREGG THE GREEK,2014-07-10
31911,31912,"LOL, it actually is. I thought last night",mbumpt,2014-07-10
31912,31913,just because I brought it up means nobody,buccaneer1961,2014-07-10
31913,31914,keep going lower...to my goal so I can,buccaneer1961,2014-07-10
31914,31915,but not void of facts,buccaneer1961,2014-07-10
31915,31916,<DELETED>,<DELETED>,2014-07-10
31916,31917,<DELETED>,<DELETED>,2014-07-10
31917,31918,<DELETED>,<DELETED>,2014-07-10
31918,31919,<DELETED>,<DELETED>,2014-07-10
31919,31920,<DELETED>,<DELETED>,2014-07-10
31920,31921,the market agrees that's why it get over,buccaneer1961,2014-07-10
31921,31922,YUPjust because I brought,GREGG THE GREEK,2014-07-10
31922,31923,"I don't think the market agrees w anything,",GREGG THE GREEK,2014-07-10
31923,31924,<DELETED>,<DELETED>,2014-07-10
31924,31925,you can say that again,mbumpt,2014-07-10
31925,31926,"Ya' know, I'm sure they have SOME equipment.",XYREUS,2014-07-10
31926,31927,yeah i saw some stuff on ebay for,lovethatgreen,2014-07-10
31927,31928,LOLused metal detector ?,GREGG THE GREEK,2014-07-10
31928,31929,yeah..thats what they use right?,lovethatgreen,2014-07-10
31929,31930,"No,Special Pen for Permit Signings",sctts,2014-07-10
31930,31931,special pen?,NEXTMONTH,2014-07-10
31931,31932,Having had the privilege of spending some time,GREGG THE GREEK,2014-07-10
31932,31933,"Cohesive, what a great word. It really describes",wlfr01,2014-07-10
31933,31934,Definitely better than the KoHeeHaw we've been experiencing,GREGG THE GREEK,2014-07-10
31934,31935,I only picked up enough for a dingy,trueblue,2014-07-10
31935,31936,You may just need to come down to,trueblue,2014-07-10
31936,31937,PPS holding.,Southern Gal,2014-07-10
31937,31938,Tomorrow after the close!,kentcrek,2014-07-10
31938,31939,"I do agree with you,i wonder how high",buccaneer1961,2014-07-10
31939,31940,I believe we will be fine from here,wlfr01,2014-07-10
31940,31941,"I don't agree at all, you will never",wlfr01,2014-07-10
31941,31942,perhaps...but only the shadow really knows,buccaneer1961,2014-07-10
31942,31943,I can agree with that. GL,wlfr01,2014-07-10
31943,31944,Why would ( you ) think the company,trueblue,2014-07-10
31944,31945,<DELETED>,<DELETED>,2014-07-10
31945,31946,<DELETED>,<DELETED>,2014-07-10
31946,31947,Your post shows little to no understanding of,wlfr01,2014-07-10
31947,31948,"Without any doubt!  LTG, thank you for",wlfr01,2014-07-10
31948,31949,I am 100% confident of that being so,IAMMINDFULL,2014-07-10
31949,31950,"Actually, pretty amazing and indicative of a strong",boiler99,2014-07-10
31950,31951,simple...the company can double dip...make gobs off shareholders,buccaneer1961,2014-07-10
31951,31952,no they arent,buccaneer1961,2014-07-10
31952,31953,What advertising? Double dip? Seems like you might,trueblue,2014-07-10
31953,31954, I am incredibly confident that we will,IAMMINDFULL,2014-07-10
31954,31955,.08/.1 range for me,buccaneer1961,2014-07-10
31955,31956,or looking back and saying I wish I,buccaneer1961,2014-07-10
31956,31957,wow...just so far out in left field it's incredible,gr8upside,2014-07-10
31957,31958,"been there,done that...led to the slaughter but,this one",buccaneer1961,2014-07-10
31958,31959,<DELETED>,<DELETED>,2014-07-10
31959,31960,because im going to find an exit point,buccaneer1961,2014-07-10
31960,31961,"That doesn't make sense either.  "".08/.1 range",jrf30,2014-07-10
31961,31962,"there will be go huge gap,there will be",buccaneer1961,2014-07-10
31962,31963,Amazing how the story changes ain't it...not a,lovethatgreen,2014-07-10
31963,31964,lolol..theres no basis for expecting it to get,buccaneer1961,2014-07-10
31964,31965,Huh? What indications of mass dumping? When they,trueblue,2014-07-10
31965,31966,Stay diversified people.  We will make more,narnia1000,2014-07-11
31966,31967,I agree fully with you and your assessment,buccaneer1961,2014-07-11
31967,31968,"""led to the slaughter"" you said. Your words",gr8upside,2014-07-11
31968,31969,Amen to this,GREGG THE GREEK,2014-07-11
31969,31970,YES they are. To say otherwise w out,GREGG THE GREEK,2014-07-11
31970,31971,NICE the target keeps moving up. ,GREGG THE GREEK,2014-07-11
31971,31972,This is how it is when comments are,GREGG THE GREEK,2014-07-11
31972,31973,Yaim sure the company will be selling some,GREGG THE GREEK,2014-07-11
31973,31974,There's also no basis for the comment that,GREGG THE GREEK,2014-07-11
31974,31975,Seems to me the only one leading anyone,GREGG THE GREEK,2014-07-11
31975,31976,I know expectations were high on this week,lovethatgreen,2014-07-11
31976,31977,"Relatively speaking, we've all been waiting a long",GREGG THE GREEK,2014-07-11
31977,31978,Looks like someone continues to load the boat LOL,GREGG THE GREEK,2014-07-11
31978,31979,name one that didn't do it?,buccaneer1961,2014-07-11
31979,31980,hahaha....so...july just might not be a permit month,buccaneer1961,2014-07-11
31980,31981,One what ?,GREGG THE GREEK,2014-07-11
31981,31982,next year we will be even closer..lolol,buccaneer1961,2014-07-11
31982,31983,Can someone please flick the ON switch here LOL,mbumpt,2014-07-11
31983,31984,"Again, i ask. One what ?",GREGG THE GREEK,2014-07-11
31984,31985,I agree lots of advertising but same sucky,buccaneer1961,2014-07-11
31985,31986,"So, holding and loading till next yr ?",GREGG THE GREEK,2014-07-11
31986,31987,if I  feel momo will come so,buccaneer1961,2014-07-11
31987,31988,BUT i thought the prediction is for Aug.,GREGG THE GREEK,2014-07-11
31988,31989,We'll hopefully that changes here REAL SOON!,mbumpt,2014-07-11
31989,31990,todays not the day...and  next week isn't,buccaneer1961,2014-07-11
31990,31991,Reminds me of another song.,GREGG THE GREEK,2014-07-11
31991,31992,Quote: .....the company didn't tell anybody what it,wlfr01,2014-07-11
31992,31993,;)That's the problem at times with boards when,mbumpt,2014-07-11
31993,31994,I did get shares just now..i don't respect,buccaneer1961,2014-07-11
31994,31995,<DELETED>,<DELETED>,2014-07-11
31995,31996,darn!! I told my broker to put the,buccaneer1961,2014-07-11
31996,31997,they found 2 wrecks...,buccaneer1961,2014-07-11
31997,31998,and a dollar per share. for pp share,buccaneer1961,2014-07-11
31998,31999,really?  Any idea which kinds?  Do,jrf30,2014-07-11
31999,32000,the pump is the dollar/.5 not .08/.1 that's,buccaneer1961,2014-07-11
32000,32001,and looking to open on naz about 24 mos..,buccaneer1961,2014-07-11
32001,32002,They only have like 83 million shares outstanding,jrf30,2014-07-11
32002,32003,"ok,that sounds good,thankyou",buccaneer1961,2014-07-11
32003,32004,I do not want to dump gobs here,buccaneer1961,2014-07-11
32004,32005,your right...sept!,buccaneer1961,2014-07-11
32005,32006,"So you picked up that 5,000 share sell",GREGG THE GREEK,2014-07-11
32006,32007,<DELETED>,<DELETED>,2014-07-11
32007,32008,LOLeven better ,GREGG THE GREEK,2014-07-11
32008,32009,Has the company given any guidance?  Let,wlfr01,2014-07-11
32009,32010,<DELETED>,<DELETED>,2014-07-11
32010,32011,YOu know ...  hmmm ...,jrf30,2014-07-11
32011,32012,The IPO is valued at 10X SFRX's price.,wlfr01,2014-07-11
32012,32013,"Ya, but then",GREGG THE GREEK,2014-07-11
32013,32014,"Actually, they are one of the few companies",jrf30,2014-07-11
32014,32015,Thanks for the thoughtful response.,wlfr01,2014-07-11
32015,32016,Wow? Still time in the day for news,trueblue,2014-07-11
32016,32017,"I put in my own orders, and only",trueblue,2014-07-11
32017,32018,<DELETED>,<DELETED>,2014-07-11
32018,32019,Good Catch!,trueblue,2014-07-11
32019,32020,Who calls in an order anymore? Unless broker,Sugarplum,2014-07-11
32020,32021,<DELETED>,<DELETED>,2014-07-11
32021,32022,Just and old fashioned love song LOL,GREGG THE GREEK,2014-07-11
32022,32023,"We click to order where I come from,",Sugarplum,2014-07-11
32023,32024,<DELETED>,<DELETED>,2014-07-11
32024,32025,"well who knows, maybe there was a BUG",IAMMINDFULL,2014-07-11
32025,32026,<DELETED>,<DELETED>,2014-07-11
32026,32027,"Nope, I didn't mean you!! Sorry if you",trueblue,2014-07-11
32027,32028,ok..later than sept?,buccaneer1961,2014-07-11
32028,32029,no I was that tiny 16k buy at,buccaneer1961,2014-07-11
32029,32030,so many call an order in...you see just,buccaneer1961,2014-07-11
32030,32031,the only bug im aware is ..is the,buccaneer1961,2014-07-11
32031,32032,"is Monday the day?? if so,day for what",buccaneer1961,2014-07-11
32032,32033,this closed under .02 sad its not higher,buccaneer1961,2014-07-11
32033,32034,new poll....who thinks we get the permit NEXTWEEK,buccaneer1961,2014-07-11
32034,32035,going to see if I can get more,buccaneer1961,2014-07-11
32035,32036,I am going to pick up my last,lindy1401,2014-07-12
32036,32037,I believe it will be next week and,IAMMINDFULL,2014-07-12
32037,32038,heres hoping all the best!,buccaneer1961,2014-07-12
32038,32039,"my dear friend,hopefully we get that permit..im just",buccaneer1961,2014-07-12
32039,32040,K i will hold you to next week,Velocityofmoney,2014-07-12
32040,32041,"Ok,The publicity extravaganza should be set in place,",sctts,2014-07-12
32041,32042,Deal!Very exciting times here for sure,IAMMINDFULL,2014-07-12
32042,32043,My theory is one of the signatures needed,trueblue,2014-07-12
32043,32044,IMO not a bad theory and plenty abound,IAMMINDFULL,2014-07-12
32044,32045,I am certainly ready for it. Unleash the,boiler99,2014-07-12
32045,32046,is it on oculus?,buccaneer1961,2014-07-12
32046,32047,advertise!! go sfrx take us to .08/.1 in,buccaneer1961,2014-07-12
32047,32048,"Also ready for the steady climb to .05,",boiler99,2014-07-12
32048,32049,Thanks buc...I put it on my calendar,lovethatgreen,2014-07-12
32049,32050,what date my dear friend??,buccaneer1961,2014-07-12
32050,32051,Awesome. Now we are headed to .20,GREGG THE GREEK,2014-07-13
32051,32052,What more is there to say ? ,sctts,2014-07-13
32052,32053,Aw heck I meant thanks biser....I get you,lovethatgreen,2014-07-13
32053,32054,um...how? why? when?,buccaneer1961,2014-07-13
32054,32055,<DELETED>,<DELETED>,2014-07-13
32055,32056,"Bucc, Please Read this DD on the 1715",capted,2014-07-13
32056,32057,"I thought "" this is the  week",lovethatgreen,2014-07-13
32057,32058,<DELETED>,<DELETED>,2014-07-13
32058,32059,http://www.1715fleetsociety.com/html/articles_3.htmlThese accounts seem to d,lindy1401,2014-07-13
32059,32060,how about now?,buccaneer1961,2014-07-13
32060,32061,Please Read this DD on the 1715 Fleet,sctts,2014-07-13
32061,32062,2 ships named conception during that era.. but,buccaneer1961,2014-07-13
32062,32063,Re: 1715 fleet pop quiz ,buccaneer1961,2014-07-13
32063,32064,<DELETED>,<DELETED>,2014-07-13
32064,32065,<DELETED>,<DELETED>,2014-07-13
32065,32066,<DELETED>,<DELETED>,2014-07-13
32066,32067,and the name Neustria Senora de la Concepcion,buccaneer1961,2014-07-13
32067,32068,"bucc, yes everyone knows there was only one",capted,2014-07-13
32068,32069, everyone knows there was only one Concepcion,sctts,2014-07-13
32069,32070,Nice work pointing out the facts and i,GREGG THE GREEK,2014-07-13
32070,32071,"ok,i gotcha...I missed that part as for them",buccaneer1961,2014-07-13
32071,32072,<DELETED>,<DELETED>,2014-07-13
32072,32073,<DELETED>,<DELETED>,2014-07-13
32073,32074,"here is  dd on the fleet,its hoped",buccaneer1961,2014-07-13
32074,32075,There have been a number of folks on,gr8upside,2014-07-13
32075,32076,BTW the catalysts for SFRX are:,gr8upside,2014-07-13
32076,32077,I think you catch my drift....the stinking permit,sctts,2014-07-13
32077,32078,I hope its here this week,buccaneer1961,2014-07-13
32078,32079,Investing in SFRX is well worth the risk--The,MAHALM,2014-07-13
32079,32080,me too...hope that permt comes...I think just ,buccaneer1961,2014-07-13
32080,32081,"Hey M, good to see you're still holding",GREGG THE GREEK,2014-07-14
32081,32082,Still holding--exciting times ahead--lets roll.,MAHALM,2014-07-14
32082,32083,I think you have to treat this stock,XYREUS,2014-07-14
32083,32084,Except that one small detail of potential 100's%,Sugarplum,2014-07-14
32084,32085,"So now that I think about it, completely",Sugarplum,2014-07-14
32085,32086,thankyou bro,buccaneer1961,2014-07-14
32086,32087,alwaysapleasureformetohelpoutalLican cous,GREGG THE GREEK,2014-07-14
32087,32088,It's important to be realistic. The permit means,XYREUS,2014-07-14
32088,32089,"Thats O.K., I'd rather you be right if",XYREUS,2014-07-14
32089,32090,got my 76283 all at the bid today....lets,buccaneer1961,2014-07-14
32090,32091,that's very true...just because they get the permit,buccaneer1961,2014-07-14
32091,32092,VAST majority of stock big to nano require,Sugarplum,2014-07-14
32092,32093,<DELETED>,<DELETED>,2014-07-14
32093,32094,I haven't been here as long as some,rmnoles,2014-07-14
32094,32095,Someone I totally believe in recently said to,lindy1401,2014-07-14
32095,32096, NICE !!! ,GREGG THE GREEK,2014-07-14
32096,32097,I DON'T think so,GREGG THE GREEK,2014-07-14
32097,32098,<DELETED>,<DELETED>,2014-07-14
32098,32099,"thanks bro...but ive already made an entry,soon with",buccaneer1961,2014-07-14
32099,32100,sure thing,GREGG THE GREEK,2014-07-14
32100,32101,long live the manifesto!! kk lets go!,buccaneer1961,2014-07-14
32101,32102,ooops!we have a wee of a dip...will moniter,buccaneer1961,2014-07-14
32102,32103,Biiiiiiiiiidddddddddddd Carp...those suckers are deadly...end of day they,lindy1401,2014-07-14
32103,32104,How many shares was the last trade for?,trueblue,2014-07-14
32104,32105,hey brotha! im hoping this will be the,buccaneer1961,2014-07-14
32105,32106,yes,buccaneer1961,2014-07-14
32106,32107,"LOLnoworries,it happends",GREGG THE GREEK,2014-07-14
32107,32108,I think what we need to do is,XYREUS,2014-07-14
32108,32109,"Patience is not about getting ""on the big",XYREUS,2014-07-14
32109,32110,It appears that I may get the chance,trueblue,2014-07-14
32110,32111,it was advertised that they SAW the treasure,buccaneer1961,2014-07-14
32111,32112,I agree completely. Did they use the word,XYREUS,2014-07-14
32112,32113,the word TREASURE was touted...they already seen the,buccaneer1961,2014-07-15
32113,32114,next year,buccaneer1961,2014-07-15
32114,32115,<DELETED>,<DELETED>,2014-07-15
32115,32116,<DELETED>,<DELETED>,2014-07-15
32116,32117,Ouch! It's a waiting game then right? It's,XYREUS,2014-07-15
32117,32118,ive never had one of these work out...but,buccaneer1961,2014-07-15
32118,32119,"Yeah, you're very level-headed and that's the way",XYREUS,2014-07-15
32119,32120,advertisers of stocks don't like ones to think,buccaneer1961,2014-07-15
32120,32121,My post was not remotely about uplisting. Read,Sugarplum,2014-07-15
32121,32122,LMAO!!!!! I'M WAY AHEAD IF YOU!!! I'm selling,XYREUS,2014-07-15
32122,32123,"Sorry, didnt understand it...I'm with you there. No",XYREUS,2014-07-15
32123,32124,"hahaha so true,ive seen too many penny scams",buccaneer1961,2014-07-15
32124,32125,I just don't think they will release another,XYREUS,2014-07-15
32125,32126,you make very good points,buccaneer1961,2014-07-15
32126,32127,At this point wouldnt it make sense NOT,XYREUS,2014-07-15
32127,32128,"No, I'm wrong..I messed up on that one!",XYREUS,2014-07-15
32128,32129,"yes,everybody does I guarantee you the buyers from",buccaneer1961,2014-07-15
32129,32130,"O.K., pull the money out and wait. Circumvent",XYREUS,2014-07-15
32130,32131,"thus far they had 2 strikeouts,but its advertised",buccaneer1961,2014-07-15
32131,32132,You realize VERY FEW investors will have this,XYREUS,2014-07-15
32132,32133,mine too! to add when permit is had,buccaneer1961,2014-07-15
32133,32134,"Buddy, thanx for the communication. Its all so",XYREUS,2014-07-15
32134,32135,that's why they raised the ss several times...well goodnight!,buccaneer1961,2014-07-15
32135,32136,"You see, if they didn't find treasure on",XYREUS,2014-07-15
32136,32137,very accurate info!,buccaneer1961,2014-07-15
32137,32138,I'm looking to see if there's any money,XYREUS,2014-07-15
32138,32139,<DELETED>,<DELETED>,2014-07-15
32139,32140,100% make believe,wlfr01,2014-07-15
32140,32141,Reminds me of the Bruce Cockburn song if,lovethatgreen,2014-07-15
32141,32142,Whooo hooo...I have a mental picture of Kyle,lindy1401,2014-07-15
32142,32143,<DELETED>,<DELETED>,2014-07-15
32143,32144,"Let's see, last minute sell at the bid",boiler99,2014-07-15
32144,32145,Yes or close to it. That's why there,Sugarplum,2014-07-15
32145,32146,One problem with that thought.,jrf30,2014-07-15
32146,32147,"Again, off.  ",jrf30,2014-07-15
32147,32148,YOu said it yourself.,jrf30,2014-07-15
32148,32149,"Well, it's not a virgin wreck then LOL",GREGG THE GREEK,2014-07-15
32149,32150,LMAOthere sure was a lot nice theories posted,GREGG THE GREEK,2014-07-15
32150,32151,<DELETED>,<DELETED>,2014-07-15
32151,32152,THEY are certainly not ,GREGG THE GREEK,2014-07-15
32152,32153,lol...a conspiracy theory just to feel better...funny,buccaneer1961,2014-07-15
32153,32154,at himself?,buccaneer1961,2014-07-15
32154,32155,brotha!...very good post...lololol,buccaneer1961,2014-07-15
32155,32156,Yes it is weird! Maybe I'm clearer on,XYREUS,2014-07-15
32156,32157,<DELETED>,<DELETED>,2014-07-15
32157,32158,<DELETED>,<DELETED>,2014-07-15
32158,32159,"O.K., I understand that and agree WITH you.",XYREUS,2014-07-15
32159,32160,<DELETED>,<DELETED>,2014-07-15
32160,32161,Just be careful,GREGG THE GREEK,2014-07-15
32161,32162,"yes  my dear friend,heres to hoping that",buccaneer1961,2014-07-15
32162,32163,Simply not true,GREGG THE GREEK,2014-07-15
32163,32164,on the amount sfrx must give to the,buccaneer1961,2014-07-15
32164,32165,Again a post that demonstrates little no understanding,wlfr01,2014-07-15
32165,32166,so...when I bought shares this week they weren't,buccaneer1961,2014-07-15
32166,32167,"Yes they were from the Open Market, NOT",wlfr01,2014-07-15
32167,32168,<DELETED>,<DELETED>,2014-07-15
32168,32169,but you know what was meant by that...the,buccaneer1961,2014-07-15
32169,32170,<DELETED>,<DELETED>,2014-07-15
32170,32171,going to work...sfrx go! get that permit!,buccaneer1961,2014-07-15
32171,32172,<DELETED>,<DELETED>,2014-07-15
32172,32173,<DELETED>,<DELETED>,2014-07-15
32173,32174,<DELETED>,<DELETED>,2014-07-15
32174,32175,Hard for anyone ,GREGG THE GREEK,2014-07-15
32175,32176,<DELETED>,<DELETED>,2014-07-15
32176,32177,<DELETED>,<DELETED>,2014-07-15
32177,32178,Valid point.,wlfr01,2014-07-15
32178,32179,So the bids in the 017s have been,GREGG THE GREEK,2014-07-15
32179,32180,Being right is hard work lol,Sugarplum,2014-07-15
32180,32181,Yeppers. The tricks come out when there is,boiler99,2014-07-15
32181,32182,lets get this pps lower...got to add but,buccaneer1961,2014-07-15
32182,32183,yes my dear brother...good thing we aren't doing,buccaneer1961,2014-07-15
32183,32184,aaayyy brotha! your correct mon! its been that,buccaneer1961,2014-07-15
32184,32185,"yes,thankyou,i really do my best....lets see what oculus",buccaneer1961,2014-07-15
32185,32186,Good point! I missed that! Looks like we,trueblue,2014-07-15
32186,32187,its not bashing to say .013s coming...not at,buccaneer1961,2014-07-15
32187,32188,It should be noted also that these ships,trueblue,2014-07-15
32188,32189,yes! im a believer!!! get that treasure sfrx,buccaneer1961,2014-07-15
32189,32190,"theres a delay in the permit...thus selling,i wonder",buccaneer1961,2014-07-16
32190,32191,<DELETED>,<DELETED>,2014-07-16
32191,32192,"As I suspected, the pps goes up on",Southern Gal,2014-07-16
32192,32193,is today the day??,buccaneer1961,2014-07-16
32193,32194,"yes friend,ive said that all along...no permit,no nothing",buccaneer1961,2014-07-16
32194,32195,<DELETED>,<DELETED>,2014-07-16
32195,32196,"Based on that bullshit, why is SFRX green",I AM BETTER THAN YOU,2014-07-16
32196,32197,"but laden with facts,i got my .017 and",buccaneer1961,2014-07-16
32197,32198,What facts were these that I apparently missed?,I AM BETTER THAN YOU,2014-07-16
32198,32199,<DELETED>,<DELETED>,2014-07-16
32199,32200,That the pps is off 10-20% from recent highs,Southern Gal,2014-07-16
32200,32201,yes...and no highly touted permit...just hot air/bulsh and,buccaneer1961,2014-07-16
32201,32202,<DELETED>,<DELETED>,2014-07-16
32202,32203,All stocks are either at or off recent highs.,I AM BETTER THAN YOU,2014-07-16
32203,32204,he said OFF recent highs...huge difference,buccaneer1961,2014-07-16
32204,32205,I know exactly what he/she said.  Read,I AM BETTER THAN YOU,2014-07-16
32205,32206,<DELETED>,<DELETED>,2014-07-16
32206,32207,Rinse and repeat,wlfr01,2014-07-16
32207,32208,it is not even possible for a stock,Southern Gal,2014-07-16
32208,32209,"my dear brother,when it was said permit coming",buccaneer1961,2014-07-16
32209,32210,Because then a new recent high would be achieved.,I AM BETTER THAN YOU,2014-07-16
32210,32211,<DELETED>,<DELETED>,2014-07-16
32211,32212,"Like i said, opinions change like the wind.",GREGG THE GREEK,2014-07-16
32212,32213,I see,Southern Gal,2014-07-16
32213,32214,your very welcome...and thankyou at the same time,buccaneer1961,2014-07-16
32214,32215,I believe the frustration comes from yet another,Southern Gal,2014-07-16
32215,32216,"I would tell any investors, if you do",wlfr01,2014-07-16
32216,32217,so many have...from over a year ago and,buccaneer1961,2014-07-16
32217,32218,I am not frustrated because the company has,wlfr01,2014-07-16
32218,32219,because somebody got a messge they talked to,buccaneer1961,2014-07-16
32219,32220,yes the ever changing market feelings,GREGG THE GREEK,2014-07-16
32220,32221,<DELETED>,<DELETED>,2014-07-16
32221,32222,"Lol, funny/delightful cause it's such simple truth.",Sugarplum,2014-07-16
32222,32223,LOL financial ruin,GREGG THE GREEK,2014-07-16
32223,32224,oh?? I have got those last year...talked to,buccaneer1961,2014-07-16
32224,32225,"I also ""got"", for over a yr, that",GREGG THE GREEK,2014-07-16
32225,32226,Never happened,wlfr01,2014-07-16
32226,32227,yes it did!! oh heck yes!...im sure kk,buccaneer1961,2014-07-16
32227,32228,now that the buying stopped...the flipper may return,buccaneer1961,2014-07-16
32228,32229,now that the selling stopped...the buyer may return,I AM BETTER THAN YOU,2014-07-16
32229,32230,Is the Market Closed?,wlfr01,2014-07-16
32230,32231,probably not...but lets see,buccaneer1961,2014-07-16
32231,32232,As if one person controls everything here LMAO,GREGG THE GREEK,2014-07-16
32232,32233,yes,buccaneer1961,2014-07-16
32233,32234,"Omnipotent, Impressive",wlfr01,2014-07-16
32234,32235,he does...everything!holding off on my buying til a,buccaneer1961,2014-07-16
32235,32236,<DELETED>,<DELETED>,2014-07-16
32236,32237,its not hard to conceive at all...look at,buccaneer1961,2014-07-16
32237,32238,<DELETED>,<DELETED>,2014-07-16
32238,32239,<DELETED>,<DELETED>,2014-07-16
32239,32240,<DELETED>,<DELETED>,2014-07-16
32240,32241,"""There is no reaction to the daily price""???",XYREUS,2014-07-16
32241,32242,<DELETED>,<DELETED>,2014-07-16
32242,32243,I'm not saying I'm 100% right in my,lovethatgreen,2014-07-16
32243,32244,I missed it? Where was it posted the,trueblue,2014-07-16
32244,32245,That buying and selling would be because they,trueblue,2014-07-16
32245,32246,good pint LOL,GREGG THE GREEK,2014-07-16
32246,32247,20% would be generous.  IMO,wlfr01,2014-07-16
32247,32248,Seems as if we have a lot of,GREGG THE GREEK,2014-07-16
32248,32249,"Play the ""Permit PR"", push your poker chips",XYREUS,2014-07-16
32249,32250,"IMO the "" smart "" guys and gals",IAMMINDFULL,2014-07-16
32250,32251,"Play the ""Permit PR""",IAMMINDFULL,2014-07-16
32251,32252,"Not that SFRX can ""trade"" on operating fundamentals",bigtwindaddy,2014-07-16
32252,32253,Doesn't look like it,mbumpt,2014-07-16
32253,32254,<DELETED>,<DELETED>,2014-07-16
32254,32255,I agree with you 100%. You're absolutely correct,XYREUS,2014-07-16
32255,32256,<DELETED>,<DELETED>,2014-07-16
32256,32257,"Any chance of filling a ""buy-order"" at .016",XYREUS,2014-07-16
32257,32258,<DELETED>,<DELETED>,2014-07-16
32258,32259,id go for 012s,lovethatgreen,2014-07-16
32259,32260,"Hey Guys, Got a Question for Everyone!",XYREUS,2014-07-16
32260,32261,but does anyone have any thoughts...,lovethatgreen,2014-07-16
32261,32262,LOOKS like the market decided it was an,GREGG THE GREEK,2014-07-16
32262,32263,XY!!! ROFL you crack me up truly a,Sugarplum,2014-07-16
32263,32264,Try Where is Kyle Kennedy and why does,lindy1401,2014-07-16
32264,32265,Europe???  Yikes...,lovethatgreen,2014-07-16
